61_x,61_y,291_x,291_y,61_291_distance
508,511,643,526,135.83077707206124
507,511,643,526,136.82470537150812
513,513,644,527,131.7459676802292
512,515,642,527,130.5526713629407
511,515,642,526,131.4610208388783
510,513,643,525,133.5402561027947
507,512,643,523,136.444127759314
504,509,644,523,140.69825869569246
502,507,646,520,144.5856147754679
502,503,647,517,145.67429423202984
502,502,650,514,148.48568954616468
500,504,652,516,152.47294842036735
502,506,652,515,150.26975743641833
503,504,653,511,150.16324450410627
501,500,657,507,156.1569723067145
501,497,656,507,155.32224567009067
499,497,655,507,156.32018423735306
498,500,656,508,158.2024020045208
499,500,656,511,157.3848785620779
502,502,659,511,157.25775020646836
502,503,656,513,154.3243337908834
503,506,657,514,154.20765220960988
505,509,657,515,152.11837495845134
507,508,657,515,150.16324450410627
510,511,654,517,144.12494579357175
519,512,653,518,134.13426109685773
519,514,654,520,135.1332675546625
523,516,657,520,134.05968819895114
525,517,658,519,133.01503674397117
524,517,657,518,133.00375934536586
524,517,657,517,133.0
524,515,657,516,133.00375934536586
525,514,658,515,133.00375934536586
524,514,659,514,135.0
522,514,658,514,136.0
520,513,656,513,136.0
518,513,656,513,138.0
517,512,656,514,139.01438774457844
514,512,654,514,140.0142849854971
511,514,650,515,139.00359707575916
513,516,648,518,135.0148140020198
511,515,649,519,138.05795884337854
510,515,649,518,139.0323703315167
510,515,648,519,138.05795884337854
509,515,646,518,137.03284277865654
510,515,644,520,134.09325113517085
511,516,643,523,132.1854757528224
510,518,640,524,130.13838787997952
509,518,641,523,132.09466302617983
511,516,642,522,131.13733259449805
511,517,643,521,132.06059215375342
510,519,638,524,128.09761902549164
509,521,635,529,126.25371281669304
511,520,633,526,122.14745187681976
504,517,635,524,131.18688958886096
505,515,636,519,131.06105447462264
500,511,636,516,136.09188072769072
498,507,636,512,138.0905500025255
496,505,635,511,139.12943613772032
496,504,638,508,142.0563268566381
496,502,640,508,144.12494579357175
495,502,641,508,146.12323566086263
496,502,646,510,150.2131818450032
497,504,647,510,150.11995203836165
498,506,648,512,150.11995203836165
501,508,645,517,144.2809758769326
514,512,642,517,128.09761902549164
515,513,644,515,129.0155029444136
514,512,644,515,130.034610777285
510,513,645,516,135.03332921912278
509,513,643,518,134.09325113517085
508,517,638,522,130.09611831257686
506,522,638,529,132.1854757528224
506,526,637,534,131.24404748406687
511,526,636,537,125.4830665866913
514,527,639,538,125.4830665866913
511,525,643,537,132.54433220624713
507,524,645,536,138.52075656738234
502,521,644,531,142.35167719419397
497,516,639,527,142.42541907960108
495,513,640,526,145.58159224297555
497,512,643,525,146.57762448614045
497,513,644,524,147.41099009232656
498,514,644,523,146.27713423498562
500,512,644,521,144.2809758769326
500,513,644,522,144.2809758769326
504,515,642,523,138.2316895650198
506,515,640,524,134.30189872075525
505,515,641,525,136.36715146984628
504,515,644,523,140.22838514366484
506,515,646,523,140.22838514366484
510,518,644,525,134.18271125595876
509,519,645,528,136.2974687952788
510,521,644,529,134.23859355639868
508,521,646,527,138.13037319865606
507,519,644,526,137.17871555019022
505,517,641,527,136.36715146984628
505,516,639,526,134.3726162579266
502,515,643,527,141.50971698084905
501,516,642,527,141.42842712835352
500,518,642,527,142.28492541376264
502,520,641,529,139.29106216839614
502,520,643,528,141.2267680009707
505,519,640,528,135.29966740535616
509,521,641,527,132.13629327327143
508,520,641,526,133.13526955694348
507,521,640,526,133.09395177843356
510,520,641,526,131.13733259449805
503,522,640,528,137.13132391981054
502,521,643,526,141.088624630053
500,520,644,526,144.12494579357175
502,520,643,529,141.28694207179942
511,519,643,528,132.30646242719968
509,519,643,525,134.13426109685773
507,520,643,525,136.09188072769072
508,521,640,527,132.13629327327143
512,522,641,529,129.18978287774928
512,523,642,529,130.13838787997952
510,524,642,531,132.1854757528224
513,524,641,533,128.3160161476345
514,525,641,533,127.251719045363
516,526,641,535,125.32358118087753
519,527,640,536,121.33424908079334
519,528,640,536,121.26417442921878
518,528,641,538,123.40583454602137
517,527,642,534,125.19584657647394
516,525,645,531,129.1394595001853
515,524,647,531,132.1854757528224
515,524,646,529,131.0953851209111
513,521,646,527,133.13526955694348
512,521,645,526,133.09395177843356
512,521,646,525,134.05968819895114
515,521,644,527,129.1394595001853
512,521,645,529,133.24038426843418
514,521,647,529,133.24038426843418
514,519,647,526,133.18408313308313
511,518,649,526,138.2316895650198
510,517,650,525,140.22838514366484
509,515,651,523,142.22517358048822
507,509,651,521,144.49913494550754
505,507,651,520,146.57762448614045
502,504,652,518,150.65191668213185
501,501,653,515,152.64337522473747
497,499,653,513,156.62694531912445
494,497,653,512,159.70597985047397
495,496,653,510,158.61904047118682
494,494,654,508,160.61133210331082
496,493,653,507,157.62296786953354
494,494,655,506,161.4465855941215
496,496,659,508,163.44112089679268
498,498,659,508,161.31026005806325
497,497,656,509,159.45218719101973
497,497,655,510,158.5339080449353
492,497,657,507,165.3027525481654
492,495,657,508,165.51132891738862
494,497,656,509,162.4438364481706
495,497,655,510,160.52725625263767
497,497,655,510,158.5339080449353
500,499,656,510,156.3873396410336
498,499,657,510,159.38004893963358
497,500,656,511,159.38004893963358
497,500,656,513,159.53056133543816
496,501,657,514,161.5239920259526
497,503,656,516,159.53056133543816
499,506,655,518,156.46085772486356
497,507,656,518,159.38004893963358
499,507,654,519,155.46382215808282
501,509,653,521,152.47294842036735
502,510,649,523,147.57371039585607
501,511,649,525,148.66068747318505
502,511,649,525,147.6651617681029
499,512,646,527,147.763324272297
498,513,645,529,147.8681845428556
499,516,646,531,147.763324272297
499,521,646,534,147.57371039585607
507,524,644,534,137.3644786689776
507,524,647,532,140.22838514366484
509,523,646,534,137.44089638822936
510,525,645,536,135.44740676735012
509,527,644,537,135.36986370680884
504,525,644,537,140.51334456200237
505,523,645,536,140.60227594174995
505,522,645,535,140.60227594174995
504,522,645,535,141.59802258506295
503,521,645,534,142.59382875847047
502,521,646,533,144.49913494550754
502,520,646,532,144.49913494550754
501,519,647,531,146.4923206178399
504,521,646,531,142.35167719419397
506,524,646,531,140.1748907615055
513,527,646,534,133.18408313308313
517,526,646,535,129.31357237351384
521,528,649,536,128.2497563350512
522,528,651,535,129.18978287774928
520,527,653,534,133.18408313308313
519,527,654,533,135.1332675546625
520,527,653,532,133.09395177843356
519,527,652,532,133.09395177843356
519,528,650,532,131.06105447462264
520,528,650,533,130.09611831257686
519,527,652,533,133.13526955694348
520,524,651,532,131.24404748406687
519,524,651,531,132.1854757528224
520,522,652,530,132.24220203853233
520,520,650,530,130.38404810405297
518,519,650,529,132.3782459469833
519,517,648,529,129.5569372901351
518,516,649,528,131.54847015454038
515,514,649,527,134.6291201783626
515,513,647,527,132.74034804836094
515,512,648,525,133.63382805263043
516,512,648,525,132.6386067478093
515,511,647,525,132.74034804836094
517,513,648,526,131.64345787011217
517,513,649,526,132.6386067478093
518,515,650,528,132.6386067478093
518,515,652,528,134.6291201783626
518,514,653,528,135.72398461583714
518,512,654,528,136.93794214898952
523,513,657,529,134.9518432626987
527,515,659,531,132.9661611087573
529,515,662,532,134.08206442324789
531,515,661,532,131.10682667199293
532,515,662,533,131.24023773218335
529,516,660,537,132.67252918370102
524,518,659,539,136.6235704408284
521,516,662,536,142.41137595009747
522,517,662,535,141.1523999087511
521,518,660,535,140.03570973148243
519,517,662,538,144.53373308677806
522,518,659,538,138.45215780189199
521,518,659,537,139.30183056945089
523,517,658,539,136.7808466123821
525,519,658,541,134.80726983364065
530,520,658,543,130.04999038831184
530,522,655,544,126.92123541787639
530,523,656,543,127.57742747053649
530,523,664,542,135.34031180694095
535,525,663,543,129.2594290564522
538,527,660,545,123.32072007574396
535,527,658,545,124.31009613060397
531,528,658,545,128.1327436684316
528,526,660,544,133.2216198670471
525,522,660,541,136.33048081775402
523,519,659,538,137.32079230764728
520,520,659,537,140.03570973148243
524,520,663,535,139.8070098385628
533,522,663,531,130.31116606031887
534,520,663,528,129.24782396620841
534,519,663,527,129.24782396620841
537,519,663,527,126.25371281669304
538,520,662,527,124.19742348374221
537,519,664,526,127.1927670899568
540,517,664,525,124.25779653607253
537,516,663,524,126.25371281669304
536,516,662,523,126.19429464123962
536,516,661,522,125.14391715141412
534,516,661,524,127.251719045363
532,516,661,523,129.18978287774928
530,517,661,524,131.18688958886096
529,518,660,525,131.18688958886096
530,519,660,525,130.13838787997952
525,518,658,526,133.24038426843418
527,518,658,526,131.24404748406687
529,520,656,527,127.1927670899568
529,523,654,529,125.14391715141412
529,524,654,529,125.09996003196804
527,524,655,530,128.14054783713078
526,524,655,530,129.1394595001853
523,525,655,530,132.09466302617983
523,525,651,531,128.14054783713078
526,527,649,531,123.06502346320826
530,531,647,536,117.10678887237921
535,532,643,536,108.07404868885037
537,532,641,535,104.04326023342406
534,530,643,533,109.04127658827184
530,527,649,532,119.10499569707393
523,522,651,528,128.14054783713078
521,520,653,525,132.09466302617983
517,516,655,525,138.2931668593933
516,517,656,527,140.356688476182
516,517,656,524,140.1748907615055
517,518,655,523,138.0905500025255
513,518,653,523,140.089257261219
515,514,652,520,137.13132391981054
524,518,650,521,126.03570922560003
524,519,651,521,127.01574705523721
520,520,652,523,132.03408650799233
514,520,648,524,134.05968819895114
513,524,644,528,131.06105447462264
518,525,642,530,124.10076550932311
518,528,641,534,123.14625451064275
518,527,641,533,123.14625451064275
522,527,643,534,121.2023102090055
523,526,644,532,121.1486689980538
523,525,646,531,123.14625451064275
523,521,649,529,126.25371281669304
520,517,650,527,130.38404810405297
509,516,651,525,142.28492541376264
505,513,652,524,147.41099009232656
506,514,653,524,147.33974345029924
511,511,654,522,143.42245291445826
523,511,653,521,130.38404810405297
524,511,657,520,133.30416347586447
523,514,657,520,134.13426109685773
529,514,662,520,133.13526955694348
532,515,664,519,132.06059215375342
533,515,667,519,134.05968819895114
539,517,674,519,135.0148140020198
548,519,680,519,132.0
552,523,683,520,131.03434664239754
553,524,684,522,131.01526628603247
548,525,678,525,130.0
547,528,675,529,128.00390619039717
547,531,675,530,128.00390619039717
546,533,673,532,127.00393694685216
544,531,669,532,125.00399993600205
537,531,666,533,129.0155029444136
527,533,661,535,134.01492454200763
518,530,657,531,139.00359707575916
517,526,658,529,141.0319112825179
516,523,659,526,143.0314650697531
515,520,658,522,143.01398533010678
511,517,658,519,147.0136048126159
508,515,657,517,149.01342221424215
506,517,656,517,150.0
500,517,651,518,151.00331122197287
500,519,649,521,149.01342221424215
501,518,649,521,148.03040228277433
505,520,647,523,142.03168660548954
509,521,645,524,136.03308421115798
511,523,644,525,133.01503674397117
515,524,648,524,133.0
516,524,647,523,131.00381673829202
516,522,649,521,133.00375934536586
512,520,649,520,137.0
510,519,651,520,141.00354605470034
511,523,651,522,140.00357138301865
521,521,652,520,131.00381673829202
521,520,653,519,132.00378782444085
520,520,654,521,134.00373129133382
521,521,653,522,132.00378782444085
520,524,654,524,134.0
521,525,654,527,133.01503674397117
524,528,655,529,131.00381673829202
528,528,661,529,133.00375934536586
537,525,668,527,131.01526628603247
544,529,674,531,130.01538370516005
542,540,676,543,134.03357788255897
540,552,674,553,134.00373129133382
528,556,669,556,141.0
525,550,668,552,143.01398533010678
523,542,671,546,148.05404418657398
523,538,672,542,149.05368160498418
527,541,673,542,146.00342461736986
531,544,671,545,140.00357138301865
534,550,671,549,137.00364958642524
539,550,670,551,131.00381673829202
541,548,670,549,129.00387591076478
542,548,673,547,131.00381673829202
541,545,674,544,133.00375934536586
540,543,675,542,135.00370365289984
538,542,675,540,137.01459776242822
536,538,672,539,136.0036764208968
528,536,670,538,142.01408380861386
524,531,671,535,147.05441169852742
523,530,670,536,147.12239802287073
522,526,668,532,146.12323566086263
519,524,670,529,151.08275877809487
517,522,667,529,150.16324450410627
517,522,666,528,149.12075643584967
518,521,668,526,150.08331019803634
520,520,672,524,152.0526224699857
523,521,672,524,149.03019828209315
534,524,673,527,139.0323703315167
537,529,673,528,136.0036764208968
538,532,673,529,135.03332921912278
537,532,673,530,136.01470508735443
536,533,672,531,136.01470508735443
535,532,671,530,136.01470508735443
535,531,671,529,136.01470508735443
535,529,673,527,138.01449199268893
535,526,672,526,137.0
534,524,674,524,140.0
533,523,673,523,140.0
539,523,674,522,135.00370365289984
539,521,677,520,138.00362314084367
541,522,676,520,135.0148140020198
542,522,676,520,134.01492454200763
542,522,678,519,136.03308421115798
545,522,678,519,133.0338302838793
549,522,676,518,127.06297651164952
547,521,679,519,132.015150645674
548,522,681,518,133.06013678032951
545,524,681,520,136.0588108135596
543,523,681,521,138.01449199268893
538,523,679,520,141.0319112825179
539,522,680,520,141.01418368376991
539,520,680,519,141.00354605470034
539,521,681,519,142.01408380861386
539,520,679,518,140.0142849854971
539,520,677,519,138.00362314084367
538,520,676,518,138.01449199268893
538,520,676,519,138.00362314084367
537,520,672,519,135.00370365289984
538,525,667,523,129.0155029444136
537,527,668,526,131.00381673829202
538,528,669,528,131.0
535,528,670,526,135.0148140020198
533,527,668,525,135.0148140020198
532,527,668,526,136.0036764208968
532,527,667,526,135.00370365289984
531,527,669,526,138.00362314084367
529,525,667,523,138.01449199268893
527,524,665,522,138.01449199268893
525,522,668,521,143.0034964607509
524,521,665,521,141.0
521,519,666,520,145.00344823486094
518,518,666,519,148.00337833982033
512,519,664,519,152.0
510,518,662,518,152.0
506,518,657,519,151.00331122197287
502,518,655,518,153.0
499,518,654,519,155.00322577288512
497,521,651,519,154.01298646542764
496,520,646,518,150.0133327407934
500,524,646,522,146.01369798755184
510,529,643,525,133.06013678032951
508,528,645,526,137.01459776242822
510,528,644,527,134.00373129133382
507,529,644,527,137.01459776242822
511,530,645,528,134.01492454200763
508,528,646,525,138.03260484392808
504,525,648,523,144.01388821915754
504,524,649,524,145.0
501,522,651,522,150.0
500,521,653,521,153.0
499,521,655,523,156.01281998605114
501,521,655,524,154.02921800749363
501,521,656,523,155.0129026887762
501,521,656,523,155.0129026887762
501,520,655,522,154.01298646542764
501,519,655,521,154.01298646542764
499,517,655,519,156.01281998605114
497,515,656,518,159.02829936838285
497,513,656,516,159.02829936838285
499,511,655,515,156.05127362504928
499,509,657,514,158.07909412695912
500,509,656,514,156.08010763707205
501,510,657,515,156.08010763707205
501,508,657,515,156.1569723067145
502,508,659,514,157.1146078504478
502,508,658,514,156.11534197509224
503,509,659,516,156.1569723067145
506,511,658,516,152.08221460775746
507,514,653,520,146.12323566086263
507,515,652,522,145.16886718577092
513,519,655,523,142.0563268566381
514,522,652,524,138.01449199268893
518,525,651,526,133.00375934536586
518,526,651,528,133.01503674397117
517,526,650,529,133.0338302838793
516,527,648,529,132.015150645674
513,528,648,531,135.03332921912278
510,530,647,534,137.05838172107534
506,533,651,536,145.03103116229988
503,531,652,535,149.05368160498418
503,531,649,533,146.01369798755184
501,526,647,531,146.08559134972896
501,522,644,531,143.28293687665675
502,523,645,530,143.17122615944868
504,524,646,529,142.08800090085018
506,527,649,530,143.0314650697531
506,526,650,528,144.01388821915754
505,530,647,529,142.00352108310554
506,531,647,530,141.00354605470034
506,530,645,529,139.00359707575916
505,530,644,529,139.00359707575916
503,529,644,528,141.00354605470034
503,528,642,528,139.0
501,525,641,526,140.00357138301865
499,523,641,525,142.01408380861386
499,521,640,524,141.0319112825179
498,521,640,524,142.03168660548954
498,522,639,526,141.05672617780408
499,523,641,525,142.01408380861386
500,523,641,525,141.01418368376991
501,525,634,528,133.0338302838793
500,526,636,529,136.03308421115798
504,527,636,531,132.06059215375342
506,528,640,528,134.0
505,526,639,526,134.0
507,529,640,528,133.00375934536586
506,531,638,531,132.0
506,533,640,532,134.00373129133382
514,533,643,532,129.00387591076478
513,533,644,533,131.0
515,535,644,536,129.00387591076478
515,538,645,538,130.0
514,540,645,539,131.00381673829202
514,541,645,541,131.0
514,544,647,544,133.0
516,547,647,548,131.00381673829202
516,550,647,550,131.0
513,550,648,551,135.00370365289984
508,548,649,549,141.00354605470034
505,544,649,545,144.00347218036097
502,540,652,540,150.0
501,534,654,535,153.00326793895613
501,531,655,533,154.01298646542764
501,530,655,533,154.02921800749363
504,530,652,533,148.03040228277433
511,533,648,535,137.01459776242822
512,535,648,537,136.01470508735443
514,538,647,537,133.00375934536586
512,538,643,538,131.0
515,537,646,537,131.0
513,535,645,534,132.00378782444085
513,533,644,534,131.00381673829202
512,535,645,534,133.00375934536586
512,536,644,535,132.00378782444085
510,535,644,535,134.0
509,533,643,534,134.00373129133382
