Frame,BPM,BPM_filtre,BPM_interp
472,88.0,0.0,94.34375
473,88.0,0.0,94.375
474,88.0,0.0,94.40625
475,88.0,0.0,94.4375
476,88.0,0.0,94.46875
477,88.0,0.0,94.5
478,88.0,0.0,94.53125
479,88.0,0.0,94.5625
480,104.0,0.0,94.59375
481,104.0,0.0,94.625
482,104.0,0.0,94.65625
483,104.0,0.0,94.6875
484,104.0,0.0,94.71875
485,104.0,0.0,94.75
486,104.0,0.0,94.78125
487,104.0,0.0,94.8125
488,104.0,0.0,94.84375
489,104.0,0.0,94.875
490,104.0,0.0,94.90625
491,104.0,0.0,94.9375
492,104.0,0.0,94.96875
493,104.0,0.0,95.0
494,104.0,0.0,95.03125
495,104.0,0.0,95.0625
496,104.0,0.0,95.09375
497,104.0,0.0,95.125
498,104.0,0.0,95.15625
499,104.0,0.0,95.1875
500,104.0,0.0,95.21875
501,104.0,0.0,95.25
502,104.0,0.0,95.28125
503,104.0,0.0,95.3125
504,104.0,0.0,95.34375
505,104.0,0.0,95.375
506,104.0,0.0,95.40625
507,104.0,0.0,95.4375
508,104.0,0.0,95.46875
509,104.0,0.0,95.5
510,104.0,0.0,95.53125
511,104.0,0.0,95.5625
512,104.0,0.0,95.59375
513,104.0,0.0,95.625
514,104.0,0.0,95.65625
515,104.0,0.0,95.6875
516,104.0,0.0,95.71875
517,104.0,0.0,95.75
518,104.0,0.0,95.78125
519,104.0,0.0,95.8125
520,104.0,0.0,95.84375
521,104.0,0.0,95.875
522,104.0,0.0,95.90625
523,104.0,0.0,95.9375
524,104.0,0.0,95.96875
525,96.0,96.0,96.0
526,96.0,96.0,96.0
527,96.0,96.0,96.0
528,96.0,96.0,96.0
529,96.0,96.0,96.0
530,96.0,96.0,96.0
531,96.0,96.0,96.0
532,96.0,96.0,96.0
533,96.0,96.0,96.0
534,96.0,96.0,96.0
535,96.0,96.0,96.0
536,96.0,96.0,96.0
537,96.0,96.0,96.0
538,96.0,96.0,96.0
539,96.0,96.0,96.0
540,96.0,96.0,96.0
541,96.0,96.0,96.0
542,96.0,96.0,96.0
543,96.0,96.0,96.0
544,96.0,96.0,96.0
545,96.0,96.0,96.0
546,96.0,96.0,96.0
547,96.0,96.0,96.0
548,96.0,96.0,96.0
549,96.0,96.0,96.0
550,96.0,96.0,96.0
551,96.0,96.0,96.0
552,96.0,96.0,96.0
553,96.0,96.0,96.0
554,96.0,96.0,96.0
555,96.0,96.0,96.0
556,96.0,96.0,96.0
557,96.0,96.0,96.0
558,96.0,96.0,96.0
559,96.0,96.0,96.0
560,96.0,96.0,96.0
